21340	521
781	116
15716	445
20567	1579
7434	731
1755	-1404
2808	-81
2646	-7556
25968	577
25193	846
3375	-717
22349	518
21791	353
26246	591
3988	767
20729	562
9054	433
13439	398
18678	680
18722	587
14212	283
20611	415
29252	356
9667	568
4310	241
4761	-54
6381	596
6543	1476
11701	455
11819	482
21007	222
22844	192
19000	840
15103	251
23078	740
24464	658
8325	572
18560	238
20116	307
24626	415
1593	-1223
28479	841
2033	-523
9216	437
10315	1037
11657	639
14663	268
14825	555
21458	431
28361	602
28028	981
6048	459
27632	627
286	-1974
4428	-955
1917	-1685
5814	990
11044	463
15059	396
17831	474
12430	490
5157	-223
14050	486
11990	373
21296	174
29090	463
12999	857
448	-3222
6994	627
12548	407
5201	-762
5490	212
8776	594
5319	931
26084	517
9711	394
26903	988
9829	674
7272	650
19451	408
8163	329
13321	433
22682	201
7885	135
13772	309
15554	220
12881	393
3537	50
6705	677
10810	244
21502	492
17336	453
29865	428
28523	265
24013	859
12386	274
330	1046
17949	204
11495	760
29414	309
19613	324
17174	375
3870	-130
25355	490
22231	898
2484	643
16896	768
13934	686
26859	318
22187	225
27137	386
10153	226
17787	295
4879	-3188
11206	670
26741	649
18065	617
16445	327
26408	829
1098	595
899	-105
21953	291
943	150
19569	170
8938	662
8820	815
16940	284
1142	-2016
16283	622
15392	494
23122	219
13277	766
1304	118
18227	270
10766	292
23573	534
25850	867
23735	451
6499	275
27588	132
25517	387
26697	485
16607	504
14168	312
19118	310
27470	500
4923	52
28974	198
5652	177
10928	302
4266	-375
24627	321
16941	404
29253	504
25194	333
5040	-1967
21503	282
14051	595
29910	611
20117	324
2980	-530
11658	407
16284	742
20612	390
12431	167
2034	-3243
26742	742
1099	-22488
331	771
16608	691
25851	1749
5158	-11379
7273	282
7930	952
16897	345
18110	994
21297	883
22683	279
8777	356
3989	-508
12387	401
10811	473
11702	497
29091	497
25969	711
28524	252
13935	346
9712	922
13322	245
4762	361
9668	653
25518	720
1594	-822
1800	-3304
4267	-158
7435	748
13773	870
12882	448
29415	537
21792	334
24465	815
19452	539
23736	901
27633	413
8821	314
26904	745
18066	527
28362	442
18561	646
21008	524
5653	302
22232	566
20450	368
10767	535
944	-3000
5202	-785
28975	318
23079	569
20568	436
19001	537
18679	814
15393	647
26409	268
27589	550
13160	142
13278	1438
17337	419
1305	-997
14169	49
6049	308
3538	26
6544	781
6706	323
1918	-33076
3420	333
24960	671
19614	12
9055	218
15555	393
26698	553
26247	587
287	67
5815	437
5491	975
23574	914
21459	557
29866	456
17175	427
