52904	7857
79860	834
1755	1275
278416	-603
2646	16291
73235	-1805
25968	12495
285706	-1881
132589	-3529
185914	-224
62705	740
20567	1238
131409	4340
189929	-777
44110	511
133975	3757
201474	-574
192547	2405
231372	-3024
250740	-2238
25193	8192
37389	1639
44066	-12960
67944	-5067
75963	-1898
92559	-4485
96618	2706
104968	526
107028	-3051
107361	158
108414	-168
109800	-2168
199568	-651
235387	5238
48125	-390
148726	-19912
181855	-5465
212328	4753
212823	-1396
256375	-14064
259994	1285
266338	5397
270955	-6852
298469	886
2033	-338
8325	-941
9216	1121
10315	-2281
14663	3182
14825	-2061
20116	-797
21458	1276
30368	-917
31303	1264
149004	-3663
189316	-891
279145	-3647
286	-1376
123228	-3461
123561	-2004
125299	1664
129358	-2590
132020	-664
137421	4418
139159	-826
139492	-1950
143820	1310
150615	-9478
267562	-1122
98733	3792
164764	-840
166384	720
171559	-596
172288	1710
199450	436
210708	86
244503	1220
48620	-413
53633	-2847
76403	159
291448	-895
162649	-763
198839	-2379
200745	-1745
290719	-2654
125181	1741
76692	514
88275	-661
86042	-211
196606	-1317
9711	-3112
151344	-1012
200088	1022
59925	1972
197830	-1099
158860	1139
277976	1008
219231	35
89210	8203
7272	-2949
226972	41
38937	-1083
198064	408
43175	-3079
43337	402
253864	2760
200132	-398
193889	857
197786	91
46505	137139
116884	-27168
7885	-2256
144667	2359
70724	1629
181404	-1554
248356	-621
12881	-2503
52698	1342
51356	1956
229807	-423
39215	896
3537	302
66558	-495
66602	4233
72344	-1933
180469	1344
259048	-3180
93332	-2383
170055	-1411
91055	-1893
17336	-412
6994	15881
68060	3795
295840	-2331
52409	-651
54362	-1966
156583	-4177
163260	440
252522	-1219
105246	-1501
24626	-9863
130969	-421
65054	1041
116433	-1925
46794	-385
125794	-2035
155403	2585
330	613
56757	-9179
77907	-950
121941	1329
77088	723
119395	-107
204804	7872
26084	-6217
19613	-2948
61157	2208
161307	-1036
77132	949
42897	5518
230030	3614
43832	-851
448	-552
12430	-1927
33374	1954
218007	3880
146331	2964
129196	455
127620	445
237826	959
36380	2513
110592	962
59268	713
36542	68
121446	-319
249247	-95
252973	-510
122175	2106
167770	-2267
267067	243
275086	-459
